country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",09-03-2025 20:00:00,13.204880,79.097889,PM10,58,111,78
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",09-03-2025 20:00:00,14.465052,78.824187,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",09-03-2025 20:00:00,14.465052,78.824187,NO2,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",09-03-2025 20:00:00,14.465052,78.824187,NH3,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",09-03-2025 20:00:00,16.9872867,81.7363176,PM2.5,48,76,57
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",09-03-2025 20:00:00,13.67,79.35,NO2,12,46,26
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",09-03-2025 20:00:00,13.67,79.35,CO,24,56,29
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",09-03-2025 20:00:00,26.146529,87.454184,NH3,4,4,4
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",09-03-2025 20:00:00,25.5626095,84.663264,NH3,1,1,1
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",09-03-2025 20:00:00,24.75746,84.366208,PM10,48,471,170
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",09-03-2025 20:00:00,24.75746,84.366208,NH3,1,1,1
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",09-03-2025 20:00:00,24.75746,84.366208,SO2,7,13,10
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",09-03-2025 20:00:00,24.75746,84.366208,OZONE,10,63,50
